context_word1,context_word2,target_word
in,that,direction
that,direction,overhearing
direction,overhearing,the
overhearing,the,indignant
the,indignant,but
indignant,but,half
but,half,humorous
half,humorous,cries
humorous,cries,with
cries,with,which
with,which,the
which,the,people
the,people,on
people,on,deck
on,deck,began
deck,began,to
began,to,drive
to,drive,the
drive,the,coffin
the,coffin,away
coffin,away,queequeg
away,queequeg,to
queequeg,to,every
to,every,one
every,one,s
one,s,consternation
s,consternation,commanded
consternation,commanded,that
commanded,that,the
that,the,thing
the,thing,should
thing,should,be
should,be,instantly
be,instantly,brought
instantly,brought,to
brought,to,him
to,him,nor
him,nor,was
nor,was,there
was,there,any
there,any,denying
any,denying,him
denying,him,seeing
him,seeing,that
seeing,that,of
that,of,all
of,all,mortals
all,mortals,some
mortals,some,dying
some,dying,men
dying,men,are
men,are,the
are,the,most
the,most,tyrannical
most,tyrannical,and
tyrannical,and,certainly
and,certainly,since
certainly,since,they
since,they,will
they,will,shortly
will,shortly,trouble
shortly,trouble,us
trouble,us,so
us,so,little
so,little,for
little,for,evermore
for,evermore,the
evermore,the,poor
the,poor,fellows
poor,fellows,ought
fellows,ought,to
ought,to,be
to,be,indulged
be,indulged,leaning
indulged,leaning,over
leaning,over,in
over,in,his
in,his,hammock
his,hammock,queequeg
hammock,queequeg,long
queequeg,long,regarded
long,regarded,the
regarded,the,coffin
the,coffin,with
coffin,with,an
with,an,attentive
an,attentive,eye
attentive,eye,he
eye,he,then
he,then,called
then,called,for
called,for,his
for,his,harpoon
his,harpoon,had
harpoon,had,the
had,the,wooden
the,wooden,stock
wooden,stock,drawn
stock,drawn,from
drawn,from,it
from,it,and
it,and,then
and,then,had
then,had,the
had,the,iron
the,iron,part
iron,part,placed
part,placed,in
placed,in,the
in,the,coffin
the,coffin,along
coffin,along,with
along,with,one
with,one,of
one,of,the
of,the,paddles
the,paddles,of
paddles,of,his
of,his,boat
his,boat,all
boat,all,by
all,by,his
by,his,own
his,own,request
own,request,also
request,also,biscuits
also,biscuits,were
biscuits,were,then
were,then,ranged
then,ranged,round
ranged,round,the
round,the,sides
the,sides,within
sides,within,a
within,a,flask
a,flask,of
flask,of,fresh
of,fresh,water
fresh,water,was
water,was,placed
was,placed,at
placed,at,the
at,the,head
the,head,and
head,and,a
and,a,small
a,small,bag
small,bag,of
bag,of,woody
of,woody,earth
woody,earth,scraped
earth,scraped,up
scraped,up,in
up,in,the
in,the,hold
the,hold,at
hold,at,the
at,the,foot
the,foot,and
foot,and,a
and,a,piece
a,piece,of
piece,of,sail
of,sail,cloth
sail,cloth,being
cloth,being,rolled
being,rolled,up
rolled,up,for
up,for,a
for,a,pillow
a,pillow,queequeg
pillow,queequeg,now
queequeg,now,entreated
now,entreated,to
entreated,to,be
to,be,lifted
be,lifted,into
lifted,into,his
into,his,final
his,final,bed
final,bed,that
bed,that,he
that,he,might
he,might,make
might,make,trial
make,trial,of
trial,of,its
of,its,comforts
its,comforts,if
comforts,if,any
if,any,it
any,it,had
it,had,he
had,he,lay
he,lay,without
lay,without,moving
without,moving,a
moving,a,few
a,few,minutes
few,minutes,then
minutes,then,told
then,told,one
told,one,to
one,to,go
to,go,to
go,to,his
to,his,bag
his,bag,and
bag,and,bring
and,bring,out
bring,out,his
out,his,little
his,little,god
little,god,yojo
god,yojo,then
yojo,then,crossing
then,crossing,his
crossing,his,arms
his,arms,on
arms,on,his
on,his,breast
his,breast,with
breast,with,yojo
with,yojo,between
yojo,between,he
between,he,called
he,called,for
called,for,the
for,the,coffin
the,coffin,lid
coffin,lid,hatch
lid,hatch,he
hatch,he,called
he,called,it
called,it,to
it,to,be
to,be,placed
be,placed,over
placed,over,him
over,him,the
him,the,head
the,head,part
head,part,turned
part,turned,over
turned,over,with
over,with,a
with,a,leather
a,leather,hinge
leather,hinge,and
hinge,and,there
and,there,lay
there,lay,queequeg
lay,queequeg,in
queequeg,in,his
in,his,coffin
his,coffin,with
coffin,with,little
with,little,but
little,but,his
but,his,composed
his,composed,countenance
composed,countenance,in
countenance,in,view
in,view,rarmai
view,rarmai,it
rarmai,it,will
it,will,do
will,do,it
do,it,is
it,is,easy
is,easy,he
easy,he,murmured
he,murmured,at
murmured,at,last
at,last,and
last,and,signed
and,signed,to
signed,to,be
to,be,replaced
be,replaced,in
replaced,in,his
in,his,hammock
his,hammock,but
hammock,but,ere
but,ere,this
ere,this,was
this,was,done
was,done,pip
done,pip,who
pip,who,had
who,had,been
had,been,slily
been,slily,hovering
slily,hovering,near
hovering,near,by
near,by,all
by,all,this
all,this,while
this,while,drew
while,drew,nigh
drew,nigh,to
nigh,to,him
to,him,where
him,where,he
where,he,lay
he,lay,and
lay,and,with
and,with,soft
with,soft,sobbings
soft,sobbings,took
sobbings,took,him
took,him,by
him,by,the
by,the,hand
the,hand,in
hand,in,the
in,the,other
the,other,holding
other,holding,his
holding,his,tambourine
his,tambourine,poor
tambourine,poor,rover
poor,rover,will
rover,will,ye
will,ye,never
ye,never,have
never,have,done
have,done,with
done,with,all
with,all,this
all,this,weary
this,weary,roving
weary,roving,where
roving,where,go
where,go,ye
go,ye,now
ye,now,but
now,but,if
but,if,the
if,the,currents
the,currents,carry
currents,carry,ye
carry,ye,to
ye,to,those
to,those,sweet
those,sweet,antilles
sweet,antilles,where
antilles,where,the
where,the,beaches
the,beaches,are
beaches,are,only
are,only,beat
only,beat,with
beat,with,water
with,water,lilies
water,lilies,will
lilies,will,ye
will,ye,do
ye,do,one
do,one,little
one,little,errand
little,errand,for
errand,for,me
for,me,seek
me,seek,out
seek,out,one
out,one,pip
one,pip,who
pip,who,s
who,s,now
s,now,been
now,been,missing
been,missing,long
missing,long,i
long,i,think
i,think,he
think,he,s
he,s,in
s,in,those
in,those,far
those,far,antilles
far,antilles,if
antilles,if,ye
if,ye,find
ye,find,him
find,him,then
him,then,comfort
then,comfort,him
comfort,him,for
him,for,he
for,he,must
he,must,be
must,be,very
be,very,sad
very,sad,for
sad,for,look
for,look,he
look,he,s
he,s,left
s,left,his
left,his,tambourine
his,tambourine,behind
tambourine,behind,i
behind,i,found
i,found,it
found,it,rig
it,rig,a
rig,a,dig
a,dig,dig
dig,dig,dig
dig,dig,now
dig,now,queequeg
now,queequeg,die
queequeg,die,and
die,and,i
and,i,ll
i,ll,beat
ll,beat,ye
beat,ye,your
ye,your,dying
your,dying,march
dying,march,i
march,i,have
i,have,heard
have,heard,murmured
heard,murmured,starbuck
murmured,starbuck,gazing
starbuck,gazing,down
gazing,down,the
down,the,scuttle
the,scuttle,that
scuttle,that,in
that,in,violent
in,violent,fevers
violent,fevers,men
fevers,men,all
men,all,ignorance
all,ignorance,have
ignorance,have,talked
have,talked,in
talked,in,ancient
in,ancient,tongues
ancient,tongues,and
tongues,and,that
and,that,when
that,when,the
when,the,mystery
the,mystery,is
mystery,is,probed
is,probed,it
probed,it,turns
it,turns,out
turns,out,always
out,always,that
always,that,in
that,in,their
in,their,wholly
their,wholly,forgotten
wholly,forgotten,childhood
forgotten,childhood,those
childhood,those,ancient
those,ancient,tongues
ancient,tongues,had
tongues,had,been
had,been,really
been,really,spoken
really,spoken,in
spoken,in,their
in,their,hearing
their,hearing,by
hearing,by,some
by,some,lofty
some,lofty,scholars
lofty,scholars,so
scholars,so,to
so,to,my
to,my,fond
my,fond,faith
fond,faith,poor
faith,poor,pip
poor,pip,in
pip,in,this
in,this,strange
this,strange,sweetness
strange,sweetness,of
sweetness,of,his
of,his,lunacy
his,lunacy,brings
lunacy,brings,heavenly
brings,heavenly,vouchers
heavenly,vouchers,of
vouchers,of,all
of,all,our
all,our,heavenly
our,heavenly,homes
heavenly,homes,where
homes,where,learned
where,learned,he
learned,he,that
he,that,but
that,but,there
but,there,hark
there,hark,he
hark,he,speaks
he,speaks,again
speaks,again,but
again,but,more
but,more,wildly
more,wildly,now
wildly,now,form
now,form,two
form,two,and
two,and,two
and,two,let
two,let,s
let,s,make
s,make,a
make,a,general
a,general,of
general,of,him
of,him,ho
him,ho,where
ho,where,s
where,s,his
s,his,harpoon
his,harpoon,lay
harpoon,lay,it
lay,it,across
it,across,here
across,here,rig
here,rig,a
rig,a,dig
a,dig,dig
dig,dig,dig
dig,dig,huzza
dig,huzza,oh
huzza,oh,for
oh,for,a
for,a,game
a,game,cock
game,cock,now
cock,now,to
now,to,sit
to,sit,upon
sit,upon,his
upon,his,head
his,head,and
head,and,crow
and,crow,queequeg
crow,queequeg,dies
queequeg,dies,game
dies,game,mind
game,mind,ye
mind,ye,that
ye,that,queequeg
that,queequeg,dies
queequeg,dies,game
dies,game,take
game,take,ye
take,ye,good
ye,good,heed
good,heed,of
heed,of,that
of,that,queequeg
that,queequeg,dies
queequeg,dies,game
dies,game,i
game,i,say
i,say,game
say,game,game
game,game,game
game,game,but
game,but,base
but,base,little
base,little,pip
little,pip,he
pip,he,died
he,died,a
died,a,coward
a,coward,died
coward,died,all
died,all,a
all,a,shiver
a,shiver,out
shiver,out,upon
out,upon,pip
upon,pip,hark
pip,hark,ye
hark,ye,if
ye,if,ye
if,ye,find
ye,find,pip
find,pip,tell
pip,tell,all
tell,all,the
all,the,antilles
the,antilles,he
antilles,he,s
he,s,a
s,a,runaway
a,runaway,a
runaway,a,coward
a,coward,a
coward,a,coward
a,coward,a
coward,a,coward
a,coward,tell
coward,tell,them
tell,them,he
them,he,jumped
he,jumped,from
jumped,from,a
from,a,whale
a,whale,boat
whale,boat,i
boat,i,d
i,d,never
d,never,beat
never,beat,my
beat,my,tambourine
my,tambourine,over
tambourine,over,base
over,base,pip
base,pip,and
pip,and,hail
and,hail,him
hail,him,general
him,general,if
general,if,he
if,he,were
he,were,once
were,once,more
once,more,dying
more,dying,here
dying,here,no
here,no,no
no,no,shame
no,shame,upon
shame,upon,all
upon,all,cowards
all,cowards,shame
cowards,shame,upon
shame,upon,them
upon,them,let
them,let,em
let,em,go
em,go,drown
go,drown,like
drown,like,pip
like,pip,that
pip,that,jumped
that,jumped,from
jumped,from,a
from,a,whale
a,whale,boat
whale,boat,shame
boat,shame,shame
shame,shame,during
shame,during,all
during,all,this
all,this,queequeg
this,queequeg,lay
queequeg,lay,with
lay,with,closed
with,closed,eyes
closed,eyes,as
eyes,as,if
as,if,in
if,in,a
in,a,dream
a,dream,pip
dream,pip,was
pip,was,led
was,led,away
led,away,and
away,and,the
and,the,sick
the,sick,man
sick,man,was
man,was,replaced
was,replaced,in
replaced,in,his
in,his,hammock
his,hammock,but
hammock,but,now
but,now,that
now,that,he
that,he,had
he,had,apparently
had,apparently,made
apparently,made,every
made,every,preparation
every,preparation,for
preparation,for,death
for,death,now
death,now,that
now,that,his
that,his,coffin
his,coffin,was
coffin,was,proved
was,proved,a
proved,a,good
a,good,fit
good,fit,queequeg
fit,queequeg,suddenly
queequeg,suddenly,rallied
suddenly,rallied,soon
rallied,soon,there
soon,there,seemed
there,seemed,no
seemed,no,need
no,need,of
need,of,the
of,the,carpenter
the,carpenter,s
carpenter,s,box
s,box,and
box,and,thereupon
and,thereupon,when
thereupon,when,some
when,some,expressed
some,expressed,their
expressed,their,delighted
their,delighted,surprise
delighted,surprise,he
surprise,he,in
he,in,substance
in,substance,said
substance,said,that
said,that,the
that,the,cause
the,cause,of
cause,of,his
of,his,sudden
his,sudden,convalescence
sudden,convalescence,was
convalescence,was,this
was,this,at
this,at,a
at,a,critical
a,critical,moment
critical,moment,he
moment,he,had
he,had,just
had,just,recalled
just,recalled,a
recalled,a,little
a,little,duty
little,duty,ashore
duty,ashore,which
ashore,which,he
which,he,was
he,was,leaving
was,leaving,undone
leaving,undone,and
undone,and,therefore
and,therefore,had
therefore,had,changed
had,changed,his
changed,his,mind
his,mind,about
mind,about,dying
about,dying,he
dying,he,could
he,could,not
could,not,die
not,die,yet
die,yet,he
yet,he,averred
he,averred,they
averred,they,asked
they,asked,him
asked,him,then
him,then,whether
then,whether,to
whether,to,live
to,live,or
live,or,die
or,die,was
die,was,a
was,a,matter
a,matter,of
matter,of,his
of,his,own
his,own,sovereign
own,sovereign,will
sovereign,will,and
will,and,pleasure
and,pleasure,he
pleasure,he,answered
he,answered,certainly
answered,certainly,in
certainly,in,a
in,a,word
a,word,it
word,it,was
it,was,queequeg
was,queequeg,s
queequeg,s,conceit
s,conceit,that
conceit,that,if
that,if,a
if,a,man
a,man,made
man,made,up
made,up,his
up,his,mind
his,mind,to
mind,to,live
to,live,mere
live,mere,sickness
mere,sickness,could
sickness,could,not
could,not,kill
not,kill,him
kill,him,nothing
him,nothing,but
nothing,but,a
but,a,whale
a,whale,or
whale,or,a
or,a,gale
a,gale,or
gale,or,some
or,some,violent
some,violent,ungovernable
violent,ungovernable,unintelligent
ungovernable,unintelligent,destroyer
unintelligent,destroyer,of
destroyer,of,that
of,that,sort
that,sort,now
sort,now,there
now,there,is
there,is,this
is,this,noteworthy
this,noteworthy,difference
noteworthy,difference,between
difference,between,savage
between,savage,and
savage,and,civilized
and,civilized,that
civilized,that,while
that,while,a
while,a,sick
a,sick,civilized
sick,civilized,man
civilized,man,may
man,may,be
may,be,six
be,six,months
six,months,convalescing
months,convalescing,generally
convalescing,generally,speaking
generally,speaking,a
speaking,a,sick
a,sick,savage
sick,savage,is
savage,is,almost
is,almost,half
almost,half,well
half,well,again
well,again,in
again,in,a
in,a,day
a,day,so
day,so,in
so,in,good
in,good,time
good,time,my
time,my,queequeg
my,queequeg,gained
queequeg,gained,strength
gained,strength,and
strength,and,at
and,at,length
at,length,after
length,after,sitting
after,sitting,on
sitting,on,the
on,the,windlass
the,windlass,for
windlass,for,a
for,a,few
a,few,indolent
few,indolent,days
indolent,days,but
days,but,eating
but,eating,with
eating,with,a
with,a,vigorous
a,vigorous,appetite
vigorous,appetite,he
appetite,he,suddenly
he,suddenly,leaped
suddenly,leaped,to
leaped,to,his
to,his,feet
his,feet,threw
feet,threw,out
threw,out,his
out,his,arms
his,arms,and
arms,and,legs
and,legs,gave
legs,gave,himself
gave,himself,a
himself,a,good
a,good,stretching
good,stretching,yawned
stretching,yawned,a
yawned,a,little
a,little,bit
little,bit,and
bit,and,then
and,then,springing
then,springing,into
springing,into,the
into,the,head
the,head,of
head,of,his
of,his,hoisted
his,hoisted,boat
hoisted,boat,and
boat,and,poising
and,poising,a
poising,a,harpoon
a,harpoon,pronounced
harpoon,pronounced,himself
pronounced,himself,fit
himself,fit,for
fit,for,a
for,a,fight
a,fight,with
fight,with,a
with,a,wild
a,wild,whimsiness
wild,whimsiness,he
whimsiness,he,now
he,now,used
now,used,his
used,his,coffin
his,coffin,for
coffin,for,a
for,a,sea
a,sea,chest
sea,chest,and
chest,and,emptying
and,emptying,into
emptying,into,it
into,it,his
it,his,canvas
his,canvas,bag
canvas,bag,of
bag,of,clothes
of,clothes,set
clothes,set,them
set,them,in
them,in,order
in,order,there
order,there,many
there,many,spare
many,spare,hours
spare,hours,he
hours,he,spent
he,spent,in
spent,in,carving
in,carving,the
carving,the,lid
the,lid,with
lid,with,all
with,all,manner
all,manner,of
manner,of,grotesque
of,grotesque,figures
grotesque,figures,and
figures,and,drawings
and,drawings,and
drawings,and,it
and,it,seemed
it,seemed,that
seemed,that,hereby
that,hereby,he
hereby,he,was
he,was,striving
was,striving,in
striving,in,his
in,his,rude
his,rude,way
rude,way,to
way,to,copy
to,copy,parts
copy,parts,of
parts,of,the
of,the,twisted
the,twisted,tattooing
twisted,tattooing,on
tattooing,on,his
on,his,body
his,body,and
body,and,this
and,this,tattooing
this,tattooing,had
tattooing,had,been
had,been,the
been,the,work
the,work,of
work,of,a
of,a,departed
a,departed,prophet
departed,prophet,and
prophet,and,seer
and,seer,of
seer,of,his
of,his,island
his,island,who
island,who,by
who,by,those
by,those,hieroglyphic
those,hieroglyphic,marks
hieroglyphic,marks,had
marks,had,written
had,written,out
written,out,on
out,on,his
on,his,body
his,body,a
body,a,complete
a,complete,theory
complete,theory,of
theory,of,the
of,the,heavens
the,heavens,and
heavens,and,the
and,the,earth
the,earth,and
earth,and,a
and,a,mystical
a,mystical,treatise
mystical,treatise,on
treatise,on,the
on,the,art
the,art,of
art,of,attaining
of,attaining,truth
attaining,truth,so
truth,so,that
so,that,queequeg
that,queequeg,in
queequeg,in,his
in,his,own
his,own,proper
own,proper,person
proper,person,was
person,was,a
was,a,riddle
a,riddle,to
riddle,to,unfold
to,unfold,a
unfold,a,wondrous
a,wondrous,work
wondrous,work,in
work,in,one
in,one,volume
one,volume,but
volume,but,whose
but,whose,mysteries
whose,mysteries,not
mysteries,not,even
not,even,himself
even,himself,could
himself,could,read
could,read,though
read,though,his
though,his,own
his,own,live
own,live,heart
live,heart,beat
heart,beat,against
beat,against,them
against,them,and
them,and,these
and,these,mysteries
these,mysteries,were
mysteries,were,therefore
were,therefore,destined
therefore,destined,in
destined,in,the
in,the,end
the,end,to
end,to,moulder
to,moulder,away
moulder,away,with
away,with,the
with,the,living
the,living,parchment
living,parchment,whereon
parchment,whereon,they
whereon,they,were
they,were,inscribed
were,inscribed,and
inscribed,and,so
and,so,be
so,be,unsolved
be,unsolved,to
unsolved,to,the
to,the,last
the,last,and
last,and,this
and,this,thought
this,thought,it
thought,it,must
it,must,have
must,have,been
have,been,which
been,which,suggested
which,suggested,to
suggested,to,ahab
to,ahab,that
ahab,that,wild
that,wild,exclamation
wild,exclamation,of
exclamation,of,his
of,his,when
his,when,one
when,one,morning
one,morning,turning
morning,turning,away
turning,away,from
away,from,surveying
from,surveying,poor
surveying,poor,queequeg
poor,queequeg,oh
queequeg,oh,devilish
oh,devilish,tantalization
devilish,tantalization,of
tantalization,of,the
of,the,gods
the,gods,chapter
gods,chapter,the
chapter,the,pacific
the,pacific,when
pacific,when,gliding
when,gliding,by
gliding,by,the
by,the,bashee
the,bashee,isles
bashee,isles,we
isles,we,emerged
we,emerged,at
emerged,at,last
at,last,upon
last,upon,the
upon,the,great
the,great,south
great,south,sea
south,sea,were
sea,were,it
were,it,not
it,not,for
not,for,other
for,other,things
other,things,i
things,i,could
i,could,have
could,have,greeted
have,greeted,my
greeted,my,dear
my,dear,pacific
dear,pacific,with
pacific,with,uncounted
with,uncounted,thanks
uncounted,thanks,for
thanks,for,now
for,now,the
now,the,long
the,long,supplication
long,supplication,of
supplication,of,my
of,my,youth
my,youth,was
youth,was,answered
was,answered,that
answered,that,serene
that,serene,ocean
serene,ocean,rolled
ocean,rolled,eastwards
rolled,eastwards,from
eastwards,from,me
from,me,a
me,a,thousand
a,thousand,leagues
thousand,leagues,of
leagues,of,blue
of,blue,there
blue,there,is
there,is,one
is,one,knows
one,knows,not
knows,not,what
not,what,sweet
what,sweet,mystery
sweet,mystery,about
mystery,about,this
about,this,sea
this,sea,whose
sea,whose,gently
whose,gently,awful
gently,awful,stirrings
awful,stirrings,seem
stirrings,seem,to
seem,to,speak
to,speak,of
speak,of,some
of,some,hidden
some,hidden,soul
hidden,soul,beneath
soul,beneath,like
beneath,like,those
like,those,fabled
those,fabled,undulations
fabled,undulations,of
undulations,of,the
of,the,ephesian
the,ephesian,sod
ephesian,sod,over
sod,over,the
over,the,buried
the,buried,evangelist
buried,evangelist,st
evangelist,st,john
st,john,and
john,and,meet
and,meet,it
meet,it,is
it,is,that
is,that,over
that,over,these
over,these,sea
these,sea,pastures
sea,pastures,wide
pastures,wide,rolling
wide,rolling,watery
rolling,watery,prairies
watery,prairies,and
prairies,and,potters
and,potters,fields
potters,fields,of
fields,of,all
of,all,four
all,four,continents
four,continents,the
continents,the,waves
the,waves,should
waves,should,rise
should,rise,and
rise,and,fall
and,fall,and
fall,and,ebb
and,ebb,and
ebb,and,flow
and,flow,unceasingly
flow,unceasingly,for
unceasingly,for,here
for,here,millions
here,millions,of
millions,of,mixed
of,mixed,shades
mixed,shades,and
shades,and,shadows
and,shadows,drowned
shadows,drowned,dreams
drowned,dreams,somnambulisms
dreams,somnambulisms,reveries
somnambulisms,reveries,all
reveries,all,that
all,that,we
that,we,call
we,call,lives
call,lives,and
lives,and,souls
and,souls,lie
souls,lie,dreaming
lie,dreaming,dreaming
dreaming,dreaming,still
dreaming,still,tossing
still,tossing,like
tossing,like,slumberers
like,slumberers,in
slumberers,in,their
in,their,beds
their,beds,the
beds,the,ever
the,ever,rolling
ever,rolling,waves
rolling,waves,but
waves,but,made
but,made,so
made,so,by
so,by,their
by,their,restlessness
their,restlessness,to
restlessness,to,any
to,any,meditative
any,meditative,magian
meditative,magian,rover
magian,rover,this
rover,this,serene
this,serene,pacific
serene,pacific,once
pacific,once,beheld
once,beheld,must
beheld,must,ever
must,ever,after
ever,after,be
after,be,the
be,the,sea
the,sea,of
sea,of,his
of,his,adoption
his,adoption,it
adoption,it,rolls
it,rolls,the
rolls,the,midmost
the,midmost,waters
midmost,waters,of
waters,of,the
of,the,world
the,world,the
world,the,indian
the,indian,ocean
indian,ocean,and
ocean,and,atlantic
and,atlantic,being
atlantic,being,but
being,but,its
but,its,arms
its,arms,the
arms,the,same
the,same,waves
same,waves,wash
waves,wash,the
wash,the,moles
the,moles,of
moles,of,the
of,the,new
the,new,built
new,built,californian
built,californian,towns
californian,towns,but
towns,but,yesterday
but,yesterday,planted
yesterday,planted,by
planted,by,the
by,the,recentest
the,recentest,race
recentest,race,of
race,of,men
of,men,and
men,and,lave
and,lave,the
lave,the,faded
the,faded,but
faded,but,still
but,still,gorgeous
still,gorgeous,skirts
gorgeous,skirts,of
skirts,of,asiatic
of,asiatic,lands
asiatic,lands,older
lands,older,than
older,than,abraham
than,abraham,while
abraham,while,all
while,all,between
all,between,float
between,float,milky
float,milky,ways
milky,ways,of
ways,of,coral
of,coral,isles
coral,isles,and
isles,and,low
and,low,lying
low,lying,endless
lying,endless,unknown
endless,unknown,archipelagoes
unknown,archipelagoes,and
archipelagoes,and,impenetrable
and,impenetrable,japans
impenetrable,japans,thus
japans,thus,this
thus,this,mysterious
this,mysterious,divine
mysterious,divine,pacific
divine,pacific,zones
pacific,zones,the
zones,the,world
the,world,s
world,s,whole
s,whole,bulk
whole,bulk,about
bulk,about,makes
about,makes,all
makes,all,coasts
all,coasts,one
coasts,one,bay
one,bay,to
bay,to,it
to,it,seems
it,seems,the
seems,the,tide
the,tide,beating
tide,beating,heart
beating,heart,of
heart,of,earth
of,earth,lifted
earth,lifted,by
lifted,by,those
by,those,eternal
those,eternal,swells
eternal,swells,you
swells,you,needs
you,needs,must
needs,must,own
must,own,the
own,the,seductive
the,seductive,god
seductive,god,bowing
god,bowing,your
bowing,your,head
your,head,to
head,to,pan
to,pan,but
pan,but,few
but,few,thoughts
few,thoughts,of
thoughts,of,pan
of,pan,stirred
pan,stirred,ahab
stirred,ahab,s
ahab,s,brain
s,brain,as
brain,as,standing
as,standing,like
standing,like,an
like,an,iron
an,iron,statue
iron,statue,at
statue,at,his
at,his,accustomed
his,accustomed,place
accustomed,place,beside
place,beside,the
beside,the,mizen
the,mizen,rigging
mizen,rigging,with
rigging,with,one
with,one,nostril
one,nostril,he
nostril,he,unthinkingly
he,unthinkingly,snuffed
unthinkingly,snuffed,the
snuffed,the,sugary
the,sugary,musk
sugary,musk,from
musk,from,the
from,the,bashee
the,bashee,isles
bashee,isles,in
isles,in,whose
in,whose,sweet
whose,sweet,woods
sweet,woods,mild
woods,mild,lovers
mild,lovers,must
lovers,must,be
must,be,walking
be,walking,and
walking,and,with
and,with,the
with,the,other
the,other,consciously
other,consciously,inhaled
consciously,inhaled,the
inhaled,the,salt
the,salt,breath
salt,breath,of
breath,of,the
of,the,new
the,new,found
new,found,sea
found,sea,that
sea,that,sea
that,sea,in
sea,in,which
in,which,the
which,the,hated
the,hated,white
hated,white,whale
white,whale,must
whale,must,even
must,even,then
even,then,be
then,be,swimming
be,swimming,launched
swimming,launched,at
launched,at,length
at,length,upon
length,upon,these
upon,these,almost
these,almost,final
almost,final,waters
final,waters,and
waters,and,gliding
and,gliding,towards
gliding,towards,the
towards,the,japanese
the,japanese,cruising
japanese,cruising,ground
cruising,ground,the
ground,the,old
the,old,man
old,man,s
man,s,purpose
s,purpose,intensified
purpose,intensified,itself
intensified,itself,his
itself,his,firm
his,firm,lips
firm,lips,met
lips,met,like
met,like,the
like,the,lips
the,lips,of
lips,of,a
of,a,vice
a,vice,the
vice,the,delta
the,delta,of
delta,of,his
of,his,forehead
his,forehead,s
forehead,s,veins
s,veins,swelled
veins,swelled,like
swelled,like,overladen
like,overladen,brooks
overladen,brooks,in
brooks,in,his
in,his,very
his,very,sleep
very,sleep,his
sleep,his,ringing
his,ringing,cry
ringing,cry,ran
cry,ran,through
ran,through,the
through,the,vaulted
the,vaulted,hull
vaulted,hull,stern
hull,stern,all
stern,all,the
all,the,white
the,white,whale
white,whale,spouts
whale,spouts,thick
spouts,thick,blood
thick,blood,chapter
blood,chapter,the
chapter,the,blacksmith
the,blacksmith,availing
blacksmith,availing,himself
availing,himself,of
himself,of,the
of,the,mild
the,mild,summer
mild,summer,cool
summer,cool,weather
cool,weather,that
weather,that,now
that,now,reigned
now,reigned,in
reigned,in,these
in,these,latitudes
these,latitudes,and
latitudes,and,in
and,in,preparation
in,preparation,for
preparation,for,the
for,the,peculiarly
the,peculiarly,active
peculiarly,active,pursuits
active,pursuits,shortly
pursuits,shortly,to
shortly,to,be
to,be,anticipated
be,anticipated,perth
anticipated,perth,the
perth,the,begrimed
the,begrimed,blistered
begrimed,blistered,old
blistered,old,blacksmith
old,blacksmith,had
blacksmith,had,not
had,not,removed
not,removed,his
removed,his,portable
his,portable,forge
portable,forge,to
forge,to,the
to,the,hold
the,hold,again
hold,again,after
again,after,concluding
after,concluding,his
concluding,his,contributory
his,contributory,work
contributory,work,for
work,for,ahab
for,ahab,s
ahab,s,leg
s,leg,but
leg,but,still
but,still,retained
still,retained,it
retained,it,on
it,on,deck
on,deck,fast
deck,fast,lashed
fast,lashed,to
lashed,to,ringbolts
to,ringbolts,by
ringbolts,by,the
by,the,foremast
the,foremast,being
foremast,being,now
being,now,almost
now,almost,incessantly
almost,incessantly,invoked
incessantly,invoked,by
invoked,by,the
by,the,headsmen
the,headsmen,and
headsmen,and,harpooneers
and,harpooneers,and
harpooneers,and,bowsmen
and,bowsmen,to
bowsmen,to,do
to,do,some
do,some,little
some,little,job
little,job,for
job,for,them
for,them,altering
them,altering,or
altering,or,repairing
or,repairing,or
repairing,or,new
or,new,shaping
new,shaping,their
shaping,their,various
their,various,weapons
various,weapons,and
weapons,and,boat
and,boat,furniture
boat,furniture,often
furniture,often,he
often,he,would
he,would,be
would,be,surrounded
be,surrounded,by
surrounded,by,an
by,an,eager
an,eager,circle
eager,circle,all
circle,all,waiting
all,waiting,to
waiting,to,be
to,be,served
be,served,holding
served,holding,boat
holding,boat,spades
boat,spades,pike
spades,pike,heads
pike,heads,harpoons
heads,harpoons,and
harpoons,and,lances
and,lances,and
lances,and,jealously
and,jealously,watching
jealously,watching,his
watching,his,every
his,every,sooty
every,sooty,movement
sooty,movement,as
movement,as,he
as,he,toiled
he,toiled,nevertheless
toiled,nevertheless,this
nevertheless,this,old
this,old,man
old,man,s
man,s,was
s,was,a
was,a,patient
a,patient,hammer
patient,hammer,wielded
hammer,wielded,by
wielded,by,a
by,a,patient
a,patient,arm
patient,arm,no
arm,no,murmur
no,murmur,no
murmur,no,impatience
no,impatience,no
impatience,no,petulance
no,petulance,did
petulance,did,come
did,come,from
come,from,him
from,him,silent
him,silent,slow
silent,slow,and
slow,and,solemn
and,solemn,bowing
solemn,bowing,over
bowing,over,still
over,still,further
still,further,his
further,his,chronically
his,chronically,broken
chronically,broken,back
broken,back,he
back,he,toiled
he,toiled,away
toiled,away,as
away,as,if
as,if,toil
if,toil,were
toil,were,life
were,life,itself
life,itself,and
itself,and,the
and,the,heavy
the,heavy,beating
heavy,beating,of
beating,of,his
of,his,hammer
his,hammer,the
